location_id,location_name,city,state,region,market_tier,seating_capacity,drive_thru,sq_ft,open_date
L01,Harborlight Coffee - Back Bay,Boston,MA,New England,Flagship,42,False,2100,2016-03-14
L02,Harborlight Coffee - Harvard Square,Cambridge,MA,New England,Standard,30,False,1450,2017-09-01
L03,Harborlight Coffee - Providence Mile,Providence,RI,New England,Standard,26,False,1300,2018-05-20
L04,Harborlight Coffee - Old Port,Portland,ME,New England,Standard,28,False,1350,2019-06-11
L05,Harborlight Coffee - Market Square,Portsmouth,NH,New England,Kiosk,12,False,650,2020-02-03
L06,Harborlight Coffee - Church Street,Burlington,VT,New England,Standard,24,False,1200,2019-11-18
L07,Harborlight Coffee - Asylum Hill,Hartford,CT,New England,Standard,32,True,1700,2017-04-09
L08,Harborlight Coffee - East Rock,New Haven,CT,New England,Standard,28,False,1400,2018-10-02
L09,Harborlight Coffee - Chelsea,Manhattan,NY,Mid-Atlantic,Flagship,48,False,2400,2015-08-15
L10,Harborlight Coffee - Williamsburg,Brooklyn,NY,Mid-Atlantic,Standard,34,False,1650,2016-11-30
L11,Harborlight Coffee - Lark Street,Albany,NY,Mid-Atlantic,Standard,26,False,1250,2019-03-22
L12,Harborlight Coffee - Ironbound,Newark,NJ,Mid-Atlantic,Standard,30,True,1500,2018-01-08
L13,Harborlight Coffee - Nassau Street,Princeton,NJ,Mid-Atlantic,Kiosk,14,False,700,2021-01-25
L14,Harborlight Coffee - Rittenhouse,Philadelphia,PA,Mid-Atlantic,Flagship,40,False,2000,2016-06-06
L15,Harborlight Coffee - Strip District,Pittsburgh,PA,Mid-Atlantic,Standard,30,True,1550,2019-09-14
